安徽频道,#genre#
广西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000086
海南卫视,http://10.255.126.3:8006/AHBKLIVE/12000000000000000000000000000003
三沙卫视,http://10.255.127.35:6060/gitv_live/G_SANSHA-HQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
三沙卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000589
重庆卫视,http://10.255.127.35:6060/gitv_live/G_CHONGQING-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
重庆卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000083
四川卫视,http://10.255.127.35:6060/gitv_live/G_SICHUAN-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
四川卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000643
四川卫视,http://10.255.127.103:6410/gitv_live/G_SICHUAN-4K/index.m3u8?Playtype=1&gMac=&partnerCode=&m3u8_level=2
四川卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000069
贵州卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000577
云南卫视,http://10.255.127.35:6060/gitv_live/G_YUNNAN-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
云南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000060
西藏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000639
西藏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000100
陕西卫视,http://10.255.127.35:6060/gitv_live/G_SHANXI-HQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
陕西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000090
甘肃卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000603
甘肃卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000094
青海卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000096
宁夏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000640
宁夏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000082
新疆卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000641
新疆卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000097
兵团卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000642
兵团卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000462
海峡卫视,https://t.freetv.fun/live/hai-xia-wei-shi-1.m3u8
海峡卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hxws
凤凰中文,http://120.198.95.220:9901/tsfile/live/1037_1.m3u8?key=txiptv
凤凰资讯,http://120.198.95.220:9901/tsfile/live/1036_1.m3u8?key=txiptv
凤凰资讯,http://rihou.cc:555/tv/[Pd]凤凰资讯
凤凰香港,http://rihou.cc:555/tv/[Pd]凤凰香港
澳视澳门,http://rihou.cc:555/tv/[Pd]澳视澳门
澳视卫星,http://rihou.cc:555/tv/[Pd]澳视卫星
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰香港,http://r.jdshipin.com/yDoTN
澳视澳门,http://r.jdshipin.com/n2YZI
澳视卫星,http://r.jdshipin.com/QFhCq
凤凰中文,http://cdn6.163189.xyz/163189/fhzw
凤凰资讯,http://cdn6.163189.xyz/163189/fhzx
凤凰香港,http://cdn6.163189.xyz/163189/fhhk
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
澳视澳门,https://cdn6.163189.xyz/163189/asam
澳视澳门,http://r.jdshipin.com/n2YZI
音乐,#genre#
蹦迪,https://live.chinacert.cftest5.cn/huya/20432232
蹦迪2,https://live.chinacert.cftest5.cn/huya/20432225
爱吃桃子的猫,https://live.chinacert.cftest5.cn/huya/18501378
小舞点歌台,https://live.chinacert.cftest5.cn/huya/15590571
24小时听音乐,https://live.chinacert.cftest5.cn/huya/30483433
糖豆豆听歌,https://live.chinacert.cftest5.cn/huya/25261191
蹦迪,https://live.ottiptv.cc/huya/20432232
蹦迪2,https://live.ottiptv.cc/huya/20432225
爱吃桃子的猫,https://live.ottiptv.cc/huya/18501378
小舞点歌台,https://live.ottiptv.cc/huya/15590571
24小时听音乐,https://live.ottiptv.cc/huya/30483433
糖豆豆听歌,https://live.ottiptv.cc/huya/25261191

音乐台长,https://www.goodiptv.club/douyu/9629943
  秋月剪水,https://www.goodiptv.club/douyu/9588891
周杰伦颜老师,http://www.goodiptv.club/douyu/7537296
张元英,https://www.goodiptv.club/huya/30765308
竹叶的熊猫,https://www.goodiptv.club/douyu/3870925
美兮超可爱的,https://www.goodiptv.club/douyu/20415
掌上Club,https://www.goodiptv.club/douyu/1770806
7师傅,http://www.goodiptv.club/douyu/17732
爱爱小s,https://www.goodiptv.club/douyu/10308312
女团社颜老师,http://www.goodiptv.club/douyu/11327316
 彼岸心属MADEIN伊藤美优,http://www.goodiptv.club/douyu/40471
小姐姐Bie跑哦,http://www.goodiptv.club/douyu/8666258
柳青瑶本尊,https://www.goodiptv.club/douyu/2281324
 王俊凯的资源组,https://www.goodiptv.club/douyu/8862216
TV 音乐,https://ptvlive.kordia.net.nz/out/v1/3fc2254c865a457c8d7fbbce227a2aae/index.m3u8
M2o 音乐,https://streamcdnb2-4c4b867c89244861ac216426883d1ad0.msvdn.net:443/live/S62628868/uhdWBlkC1AoO/chunklist_b2428000.m3u8
📎解说电影📎,#genre#
小丑讲电影,https://live.ottiptv.cc/huya/16857432
越哥说电影,https://live.ottiptv.cc/huya/15894162
熊妹撩电影,https://live.ottiptv.cc/huya/15966357
吾聊电影,https://live.ottiptv.cc/huya/16424416
小川侃电影,https://live.ottiptv.cc/huya/15870999
鱼丸说电影,https://live.ottiptv.cc/huya/16615910
楚门聊电影,https://live.ottiptv.cc/huya/16507906
扁豆看电影2,https://live.ottiptv.cc/huya/21059623
涵哥评电影,https://live.ottiptv.cc/huya/16865726
青年电影馆,https://live.ottiptv.cc/huya/21388479
酱婶儿电影,https://live.ottiptv.cc/huya/24396474
亮哥讲电影2,https://live.ottiptv.cc/huya/21059622
大墨电影,https://live.ottiptv.cc/huya/29458834
越哥说电影2,https://live.ottiptv.cc/huya/29982680
爆裂电影2,https://live.ottiptv.cc/huya/29982678
泡菜电影,https://live.ottiptv.cc/huya/25105448
老巴电影,https://live.ottiptv.cc/huya/29340502
鹏友说电影,https://live.ottiptv.cc/huya/29340612
小丑电影,https://live.ottiptv.cc/huya/29869799
莱德电影,https://live.ottiptv.cc/huya/25105529
动画休闲,#genre#
