安徽,#genre#
山东卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/sdws8m/8000000/mnf.m3u8
山西卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/shanxiwssd4m/4000000/mnf.m3u8
陕西卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/sxwssd4m/4000000/mnf.m3u8
江西卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/jxws8m/8000000/mnf.m3u8
河南卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/hnwshd8m/8000000/mnf.m3u8
河北卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/hbwshd8m/8000000/mnf.m3u8
宁夏卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/nxwssd4m/4000000/mnf.m3u8
甘肃卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/gswshd8m/8000000/mnf.m3u8
青海卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/qhwssd4m/4000000/mnf.m3u8
新疆卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/xjwssd4m/4000000/mnf.m3u8
西藏卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/xzws/2500000/mnf.m3u8
重庆卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cqws8m/8000000/mnf.m3u8
东南卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/dnwshd8m/8000000/mnf.m3u8
海峡卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/hxwshd4m/4000000/mnf.m3u8
厦门卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/xmws/1300000/mnf.m3u8
云南卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/ynwshd8m/8000000/mnf.m3u8
贵州卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/gzwshd8m/8000000/mnf.m3u8
海南卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/hainanwshd8m/8000000/mnf.m3u8
三沙卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/sswshd8m/8000000/mnf.m3u8
